name,ac_tot,POP_NORM
Alameda,476565,330.0901197
Alpine,474266,392604.255
Amador,387827,11049.20202
Butte,1073263,5282.561689
Calaveras,662840,16344.63736
Yolo,653450,3874.363541
Contra Costa,481394,507.3632518
Del Norte,648861,23588.94542
El Dorado,1144947,7325.364703
Fresno,3850607,4816.829811
Glenn,849132,32099.64887
Humboldt,2293951,18131.4239
Imperial,2868458,20149.18599
Inyo,6546558,364812.3951
Kern,5221435,7891.596201
Kings,890800,6880.839595
Lassen,3021450,89318.03111
Los Angeles,2611372,274.3228553
Madera,1377575,11189.88451
Marin,336285,1359.886323
Mariposa,935607,54618.02084
Mendocino,2247878,26057.82292
Merced,1261432,5991.013542
Modoc,2689712,284655.7335
Mono,2003703,155893.8108
Monterey,2121212,5279.772061
Napa,505857,4070.319255
Nevada,623852,6778.566153
Orange,508921,178.8017381
Placer,960108,3865.18566
Plumas,1672709,80326.01887
Riverside,4673122,3023.917274
Sacramento,636078,519.8842181
San Benito,889408,16707.52581
San Bernardino,12867927,7527.595205
San Diego,2712151,963.8636503
San Francisco,30238,38.93006304
San Joaquin,912595,1619.230175
San Luis Obispo,2124267,8611.394357
San Mateo,290479,410.7682691
Santa Clara,831659,494.2746741
Santa Cruz,285713,1117.804856
Shasta,2465233,15100.41497
Sierra,615316,173084.7612
Siskiyou,4062266,91696.93447
Solano,544111,1379.09646
Sonoma,1016737,2216.978335
Stanislaus,970173,2170.423946
Sutter,389436,4933.939894
Tehama,1892926,33778.71791
Trinity,2052766,157638.3289
Tulare,3099338,8421.633634
Tuolumne,1457657,26745.50747
Colusa,740383,39373.67852
Yuba,411821,6838.719236
Ventura,1189161,1578.818316
Santa Barbara,1760915,4409.486282
Lake,850980,14594.31999
